formacode,description,field,generic_term
42716,café brasserie,427 HOTELLERIE RESTAURATION,42746 RESTAURATION
42759,écailler,427 HOTELLERIE RESTAURATION,42746 RESTAURATION
42727,gestion menu,427 HOTELLERIE RESTAURATION,42746 RESTAURATION
42757,service salle,427 HOTELLERIE RESTAURATION,42746 RESTAURATION
42769,maître d'hôtel,427 HOTELLERIE RESTAURATION,42757 SERVICE SALLE
42739,sommellerie,427 HOTELLERIE RESTAURATION,42746 RESTAURATION
42725,restauration rapide,427 HOTELLERIE RESTAURATION,42754 HOTELLERIE RESTAURATION
42705,crêperie,427 HOTELLERIE RESTAURATION,42725 RESTAURATION RAPIDE
42704,pizzeria,427 HOTELLERIE RESTAURATION,42725 RESTAURATION RAPIDE
42654,tourisme,426 TOURISME,"00113 SPORT, LOISIRS, TOURISME"
42686,accueil tourisme,426 TOURISME,42654 TOURISME
42677,agence voyages,426 TOURISME,42654 TOURISME
42623,animation tourisme,426 TOURISME,42654 TOURISME
42603,conducteur tourisme,426 TOURISME,42623 ANIMATION TOURISME
42611,guide accompagnateur,426 TOURISME,42623 ANIMATION TOURISME
42668,commercialisation produit touristique,426 TOURISME,42654 TOURISME
42679,billetterie,426 TOURISME,42668 COMMERCIALISATION PRODUIT TOURISTIQUE
42648,conception produit touristique,426 TOURISME,42654 TOURISME
42638,développement touristique,426 TOURISME,42654 TOURISME
42627,gestion entreprise touristique,426 TOURISME,42654 TOURISME
42619,camping caravaning,426 TOURISME,42627 GESTION ENTREPRISE TOURISTIQUE
42608,parc loisirs,426 TOURISME,42627 GESTION ENTREPRISE TOURISTIQUE
42695,information tourisme,426 TOURISME,42654 TOURISME
42659,marketing touristique,426 TOURISME,42654 TOURISME
42661,yield management,426 TOURISME,42659 MARKETING TOURISTIQUE
42625,tourisme affaires,426 TOURISME,42654 TOURISME
42651,tourisme culturel,426 TOURISME,42654 TOURISME
42602,guide-conférencier,426 TOURISME,42651 TOURISME CULTUREL
42691,tourisme équestre,426 TOURISME,42654 TOURISME
42694,tourisme fluvial,426 TOURISME,42654 TOURISME
42692,tourisme montagne,426 TOURISME,42654 TOURISME
42681,tourisme pêche,426 TOURISME,42654 TOURISME
42693,tourisme rural,426 TOURISME,42654 TOURISME
42696,oenotourisme,426 TOURISME,42693 TOURISME RURAL
42641,tourisme social,426 TOURISME,42654 TOURISME
42632,tourisme sportif,426 TOURISME,42654 TOURISME
42671,tourisme thermal,426 TOURISME,42654 TOURISME
24054,électricité,240 ELECTRICITE,"00114 ENERGIE, ELECTRICITE"
24052,électromécanique,240 ELECTRICITE,24054 ELECTRICITE
24061,machine électrique,240 ELECTRICITE,24052 ELECTROMECANIQUE
24070,moteur électrique,240 ELECTRICITE,24061 MACHINE ELECTRIQUE
24081,transformateur,240 ELECTRICITE,24061 MACHINE ELECTRIQUE
24021,électroménager,240 ELECTRICITE,24054 ELECTRICITE
24072,électrotechnique mise à niveau,240 ELECTRICITE,24054 ELECTRICITE
24066,installation électrique,240 ELECTRICITE,24054 ELECTRICITE
24086,distribution électricité,240 ELECTRICITE,24066 INSTALLATION ELECTRIQUE
24095,basse tension,240 ELECTRICITE,24086 DISTRIBUTION ELECTRICITE
24097,haute tension,240 ELECTRICITE,24086 DISTRIBUTION ELECTRICITE
